idx	char	level	meanings	on_yomi	fanout
324	動	N4	Move; Motion; Change; Confusion	どう	
325	量	N2	Quantity; Measure; Weight; Amount	りょう	
326	裏	N2	Back; Amidst; In; Reverse	り	
327	埋	N2	Bury; Be Filled Up; Embedded	まい	
328	童	N2	Juvenile; Child	どう	
329	亻	COMP	Radical Number 9		56
330	体	N4	Body; Substance; Object; Reality	たい/てい	
331	信	N3	Faith; Truth; Fidelity; Trust	しん	
332	件	N3	Affair; Case; Matter; Item	けん	
333	住	N4	Dwell; Reside; Live; Inhabit	じゅう/ぢゅう/ちゅう	
334	位	N3	Rank; Grade; Throne; Crown	い	
335	働	N3	Work; (kokuji)	どう	
336	個	N2	Individual; Counter For Articles	こ/か	
337	値	N3	Price; Cost; Value	ち	
338	他	N3	Other; Another; The Others	た	
339	休	N5	Rest; Day Off; Retire; Sleep	きゅう	
340	億	N2	Hundred Million; 10**8	おく	
341	伸	N2	Expand; Stretch; Extend; Lengthen	しん	
342	像	N2	Statue; Picture; Image; Figure	ぞう	
343	依	N2	Reliant; Depend On; Consequently; Therefore	い/え	
344	仲	N2	Go-between; Relationship	ちゅう	
345	弋	COMP	Piling; Ceremony Radical (no. 56)	よく	6
346	代	N4	Substitute; Change; Convert; Replace	だい/たい	
347	式	N3	Style; Ceremony; Rite; Function	しき	
348	武	N2	Warrior; Military; Chivalry; Arms	ぶ/む	
349	試	N4	Test; Try; Attempt; Experiment	し	
350	貸	N4	Lend	たい	
351	袋	N2	Sack; Bag; Pouch	たい/だい	
352	匕	COMP	Spoon; Spoon Or Katakana Hi Radical (no. 21)	ひ	18
353	化	N3	Change; Take The Form Of; Influence; Enchant	か/け	
354	北	N5	North	ほく	
355	比	N2	Compare; Race; Ratio; Philippines	ひ	
356	背	N3	Stature; Height; Back; Behind	はい	
357	老	N3	Old Man; Old Age; Grow Old	ろう	
358	貨	N2	Freight; Goods; Property	か	
359	皆	N3	All; Everything	かい	
360	丆	COMP	(bound component)		13
361	不	N4	Negative; Non-; Bad; Ugly	ふ/ぶ	
362	石	N3	Stone	せき/しゃく/こく	
363	否	N3	Negate; No; Noes; Refuse	ひ	
364	岩	N2	Boulder; Rock; Cliff	がん	
365	砂	N2	Sand	さ/しゃ	
366	杯	N3	Counter For Cupfuls; Wine Glass; Glass; Toast	はい	
367	忄	COMP	Heart; Standing Heart Radical Variant (no. 61)	しん	8
368	性	N3	Sex; Gender; Nature	せい/しょう	
369	情	N3	Feelings; Emotion; Passion; Sympathy	じょう/せい	
370	慣	N3	Accustomed; Get Used To; Become Experienced	かん	
371	刂	COMP	Knife; Standing Sword Radical (no. 18)	とう	19
372	制	N3	System; Law; Rule	せい	
373	判	N3	Judgement; Signature; Stamp; Seal	はん/ばん	
374	則	N2	Rule; Follow; Based On; Model After	そく	
375	側	N3	Side; Lean; Oppose; Regret	そく	
376	刊	N2	Publish; Carve; Engrave	かん	
377	刻	N3	Engrave; Cut Fine; Chop; Hash	こく	
378	刺	N2	Thorn; Pierce; Stab; Prick	し	
379	刖	COMP	Cutting Off Feet As Form Of Punishment	げつ/ぐち/ごつ	2
380	前	N5	In Front; Before	ぜん	
381	輸	N2	Transport; Send; Be Inferior	ゆ/しゅ	
382	戈	COMP	Halberd; Arms; Festival Car; Float	か	23
383	成	N3	Turn Into; Become; Get; Grow	せい/じょう	
384	職	N3	Post; Employment; Work	しょく/そく	
385	識	N3	Discriminating; Know; Write	しき	
386	城	N2	Castle	じょう/せい	
387	厶	COMP	I; Myself; Katakana Mu Radical (no. 28)	し/ぼう/む	32
388	公	N4	Public; Prince; Official; Governmental	こう/く	
389	台	N4	Pedestal; A Stand; Counter For Machines And Vehicles	だい/たい	
390	始	N4	Commence; Begin	し	
391	能	N3	Ability; Talent; Skill; Capacity	のう	
392	育	N3	Bring Up; Grow Up; Raise; Rear	いく	
393	去	N4	Gone; Past; Quit; Leave	きょ/こ	
394	払	N3	Pay; Clear Out; Prune; Banish	ふつ/ひつ/ほつ	
395	仏	N2	Buddha; The Dead; France	ぶつ/ふつ	
396	云	COMP	Say	うん	7
397	会	N4	Meeting; Meet; Party; Association	かい/え	
398	転	N4	Revolve; Turn Around; Change	てん	
399	伝	N3	Transmit; Go Along; Walk Along; Follow	でん/てん	
400	雲	N2	Cloud	うん	
401	曇	N2	Cloudy Weather; Cloud Up	どん	
402	氵	COMP	Water; Water Radical (no. 85)		54
403	法	N3	Method; Law; Rule; Principle	ほう/はっ/ほっ	
404	治	N3	Reign; Be At Peace; Calm Down; Subdue	じ/ち	
405	流	N3	Current; A Sink; Flow; Forfeit	りゅう/る	
406	況	N2	Condition; Situation	きょう	
407	注	N4	Pour; Irrigate; Shed (tears); Flow Into	ちゅう	
408	油	N2	Oil; Fat	ゆ/ゆう	
409	清	N2	Pure; Purify; Cleanse; Exorcise	せい/しょう/しん	
410	測	N2	Fathom; Plan; Scheme; Measure	そく	
411	洋	N4	Ocean; Sea; Foreign; Western Style	よう	
412	混	N2	Mix; Blend; Confuse	こん	
413	池	N2	Pond; Cistern; Pool; Reservoir	ち	
414	温	N2	Warm	おん	
415	汚	N2	Dirty; Pollute; Disgrace; Rape	お	
416	浴	N2	Bathe; Be Favored With; Bask In	よく	
417	洗	N3	Wash; Inquire Into; Probe	せん	
418	泳	N3	Swim	えい	
419	泊	N2	Overnight Stay; Put Up At; Ride At Anchor	はく	
420	沈	N2	Sink; Be Submerged; Subside; Be Depressed	ちん/じん	
421	湖	N2	Lake	こ	
422	塗	N2	Paint; Plaster; Daub; Smear	と	
423	汗	N2	Sweat; Perspire	かん	
424	湿	N2	Damp; Wet; Moist	しつ/しゅう	
425	涼	N2	Refreshing; Nice And Cool	りょう	
426	夬	COMP	Decide; Determine; Archery Glove	かい/けつ/けち	2
427	決	N3	Decide; Fix; Agree Upon; Appoint	けつ	
428	快	N2	Cheerful; Pleasant; Agreeable; Comfortable	かい	
429	弓	N1	Bow; Bow (archery, Violin)	きゅう	6
430	強	N4	Strong	きょう/ごう	
431	引	N3	Pull; Tug; Jerk; Admit	いん	
432	与	N3	Bestow; Participate In; Give; Award	よ	
433	又	N1	Or Again; Furthermore; On The Other Hand	ゆう	68
434	取	N3	Take; Fetch; Take Up	しゅ	
435	最	N3	Utmost; Most; Extreme	さい/しゅ	
436	支	N3	Branch; Support; Sustain; Branch Radical (no. 65)	し	
437	技	N2	Skill; Art; Craft; Ability	ぎ	
438	捜	N2	Search; Look For; Locate	そう/しゅ/しゅう	
439	双	N2	Pair; Set; Comparison; Counter For Pairs	そう	
440	皮	N2	Pelt; Skin; Hide; Leather	ひ	
441	破	N3	Rend; Rip; Tear; Break	は	
442	波	N2	Waves; Billows; Poland	は	
443	枝	N2	Bough; Branch; Twig; Limb	し	
444	阝	COMP	Place; Left Village Radical - 2 Stroke Form (no. 170)		15
445	都	N3	Metropolis; Capital; All; Everything	と/つ	
446	防	N2	Ward Off; Defend; Protect; Resist	ぼう	
447	階	N2	Storey; Stair; Counter For Storeys Of A Building	かい	
448	除	N3	Exclude; Division (x/3); Remove; Abolish	じょ/じ	
449	郵	N2	Mail; Stagecoach Stop	ゆう	
450	郊	N2	Outskirts; Suburbs; Rural Area	こう	
451	咅	COMP	To Spit Out	とう	2
452	部	N3	Section; Bureau; Dept; Class	ぶ	
453	倍	N2	Double; Twice; Times; Fold	ばい	
454	禾	COMP	Two-branch Tree Radical (no. 115)	か	14
455	和	N3	Harmony; Japanese Style; Peace; Soften	わ/お/か	
456	委	N2	Committee; Entrust To; Leave To; Devote	い	
457	利	N3	Profit; Advantage; Benefit	り	
458	私	N4	Private; I; Me	し	
459	移	N2	Shift; Move; Change; Drift	い	
460	種	N3	Species; Kind; Class; Variety	しゅ	
461	程	N3	Extent; Degree; Law; Formula	てい	
462	積	N3	Volume; Product (x*y); Acreage; Contents	せき	
463	秋	N4	Autumn	しゅう	
464	季	N2	Seasons	き	
465	香	N2	Incense; Smell; Perfume	こう/きょう	
466	秒	N2	Second (1/60 Minute)	びょう	
467	糹	COMP	(bound component)		22
468	総	N2	General; Whole; All; Full	そう	
469	線	N2	Line; Track	せん	
470	細	N2	Dainty; Get Thin; Taper; Slender	さい	
471	給	N3	Salary; Wage; Gift; Allow	きゅう	
472	練	N2	Practice; Gloss; Train; Drill	れん	
473	績	N2	Exploits; Achievements; Unreeling Cocoons	せき	
474	絵	N3	Picture; Drawing; Painting; Sketch	かい/え	
475	緒	N3	Thong; Beginning; Inception; End	しょ/ちょ	
476	紅	N2	Crimson; Deep Red	こう/く	
477	綿	N2	Cotton	めん	
478	圣	COMP	Holy; Sacred	こつ/くつ/こち	2
479	経	N3	Sutra; Longitude; Pass Thru; Expire	けい/きょう/きん	
480	軽	N2	Lightly; Trifling; Unimportant	けい/きょう/きん	
481	勹	COMP	Wrapping Enclosure; Wrapping Radical (no. 20)	ほう	30
482	約	N3	Promise; Approximately; Shrink	やく	
483	均	N2	Level; Average	きん	
484	舌	N1	Tongue; Reed; Clapper	ぜつ	4
485	話	N5	Tale; Talk	わ	
486	活	N3	Lively; Resuscitation; Being Helped; Living	かつ	
487	辞	N3	Resign; Word; Term; Expression	じ	
488	乱	N2	Riot; War; Disorder; Disturb	らん/ろん	
489	隹	COMP	Bird; Old Bird Radical (no. 172)	さい/すい	12
490	進	N3	Advance; Proceed; Progress; Promote	しん	
491	集	N4	Gather; Meet; Congregate; Swarm	しゅう	
492	確	N3	Assurance; Firm; Tight; Hard	かく/こう	
493	準	N2	Semi-; Correspond To; Proportionate To; Conform	じゅん	
494	隻	N2	Vessels; Counter For Ships; Fish; Birds	せき	
495	旨	N1	Delicious; Relish; Show A Liking For; Purport	し	2
496	指	N3	Finger; Point To; Indicate; Put Into	し	
497	脂	N2	Fat; Grease; Tallow; Lard	し	
498	𠂉	COMP	(bound component)		20
499	権	N3	Authority; Power; Rights	けん/ごん	
500	海	N4	Sea; Ocean	かい	
501	観	N3	Outlook; Look; Appearance; Condition	かん	
502	遊	N3	Play	ゆう/ゆ	
503	塩	N2	Salt	えん	
504	㐄	COMP	(bound component)		2
505	年	N5	Year; Counter For Years	ねん	
506	乍	COMP	Though; Notwithstanding; While; During	さ/さく	2
507	作	N4	Make; Production; Prepare; Build	さく/さ	
508	昨	N3	Yesterday; Previous	さく	
509	乂	COMP	Mow; Cut Grass; Subdue	がい/かい/げ	18
510	気	N5	Spirit; Mind; Air; Atmosphere	き/け	
511	文	N4	Sentence; Literature; Style; Art	ぶん/もん	
512	使	N4	Use; Send On A Mission; Order; Messenger	し	
513	史	N2	History; Chronicle	し	
514	父	N5	Father	ふ	
515	更	N3	Grow Late; Night Watch; Sit Up Late; Of Course	こう	
